Ticker;Companyia;EPS Growth (10%);Debt/Equity (20%);P/B (10%);TOTAL
WFC;Wells Fargo;0,46;1,01;1,00;2,47
JPM;JPMorgan Chase;1,00;0,61;0,00;1,61
IDCBY;ICBC;0,49;0,78;0,32;1,59
HSBC;HSBC Holdings;0,03;1,46;0,14;1,64
BAC;Bank of America;0,00;1,00;0,69;1,70
CICHY;China Construction Bank;0,49;2,00;0,09;2,59
