Ticker;Companyia;EPS Growth (10%);Debt/Equity (20%);P/B (10%)
WFC;Wells Fargo;4,62;5,04;10
JPM;JPMorgan Chase;10;3,06;0
IDCBY;ICBC;4,88;3,9;3,22
HSBC;HSBC Holdings;0,32;7,32;1,39
BAC;Bank of America;0;5,01;6,94
CICHY;China Construction Bank;4,94;10;0,95
