Date,Companyia,Ticker Yahoo original,Ticker Yahoo utilitzat,Open,High,Low,Close,Adj Close,Volume
,,,,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ
2014-01-02,Johnson & Johnson,JNJ,JNJ,91.13999938964844,91.7300033569336,91.01000213623047,91.02999877929688,64.87020111083984,5919600
2014-01-03,Johnson & Johnson,JNJ,JNJ,91.29000091552734,92.22000122070312,91.26000213623047,91.8499984741211,65.4545669555664,5637600
2014-01-06,Johnson & Johnson,JNJ,JNJ,91.93000030517578,92.75,91.87000274658203,92.33000183105469,65.7966537475586,7443500
2014-01-07,Johnson & Johnson,JNJ,JNJ,93.04000091552734,94.62000274658203,92.98999786376953,94.29000091552734,67.19337463378906,11063300
2014-01-08,Johnson & Johnson,JNJ,JNJ,94.16999816894531,94.5999984741211,93.87999725341797,94.16000366210938,67.10075378417969,9096700
2014-01-09,Johnson & Johnson,JNJ,JNJ,94.94000244140625,95.37999725341797,94.08999633789062,94.7300033569336,67.50694274902344,7944700
2014-01-10,Johnson & Johnson,JNJ,JNJ,94.63999938964844,94.9800033569336,94.13999938964844,94.73999786376953,67.5140609741211,6697400
2014-01-13,Johnson & Johnson,JNJ,JNJ,94.37000274658203,94.98999786376953,94.05999755859375,94.5,67.34303283691406,9589200
2014-01-14,Johnson & Johnson,JNJ,JNJ,94.5999984741211,94.9000015258789,94.31999969482422,94.72000122070312,67.49979400634766,7567300
2014-01-15,Johnson & Johnson,JNJ,JNJ,94.6500015258789,95.2699966430664,94.51000213623047,94.80000305175781,67.55683135986328,7390700
2014-01-16,Johnson & Johnson,JNJ,JNJ,94.5999984741211,95.08999633789062,94.2300033569336,94.63999938964844,67.44280242919922,8401100
2014-01-17,Johnson & Johnson,JNJ,JNJ,94.72000122070312,95.16999816894531,94.37999725341797,95.05999755859375,67.74211120605469,13714400
2014-01-21,Johnson & Johnson,JNJ,JNJ,94.93000030517578,95.0999984741211,92.62000274658203,94.02999877929688,67.00811004638672,16368400
2014-01-22,Johnson & Johnson,JNJ,JNJ,93.98999786376953,94.55000305175781,93.54000091552734,94.31999969482422,67.21473693847656,8875500
2014-01-23,Johnson & Johnson,JNJ,JNJ,93.73999786376953,93.80000305175781,92.41000366210938,92.73999786376953,66.08880615234375,9322300
2014-01-24,Johnson & Johnson,JNJ,JNJ,92.12000274658203,92.61000061035156,90.61000061035156,90.61000061035156,64.57088470458984,10604200
2014-01-27,Johnson & Johnson,JNJ,JNJ,90.30000305175781,90.76000213623047,89.8499984741211,89.94000244140625,64.09347534179688,8685200
2014-01-28,Johnson & Johnson,JNJ,JNJ,90.58000183105469,90.5999984741211,89.79000091552734,90.0999984741211,64.20748138427734,8254400
2014-01-29,Johnson & Johnson,JNJ,JNJ,89.47000122070312,89.70999908447266,88.52999877929688,88.9000015258789,63.352317810058594,11160100
2014-01-30,Johnson & Johnson,JNJ,JNJ,89.62000274658203,89.77999877929688,89.01000213623047,89.5,63.779911041259766,6874900
2014-01-31,Johnson & Johnson,JNJ,JNJ,89.01000213623047,89.33999633789062,88.1500015258789,88.47000122070312,63.045902252197266,12193800
2014-02-03,Johnson & Johnson,JNJ,JNJ,88.75,88.77999877929688,86.61000061035156,86.77999877929688,61.84157180786133,13944600
