Date,Companyia,Ticker Yahoo original,Ticker Yahoo utilitzat,Open,High,Low,Close,Adj Close,Volume
,,,,TM,TM,TM,TM,TM,TM
2014-01-02,Toyota Motor,TM,TM,121.5999984741211,121.5999984741211,120.0999984741211,120.62999725341797,86.97972106933594,239400
2014-01-03,Toyota Motor,TM,TM,121.0,121.29000091552734,119.87000274658203,120.51000213623047,86.8932113647461,530500
2014-01-06,Toyota Motor,TM,TM,120.87999725341797,120.9800033569336,120.0,120.16999816894531,86.64804077148438,441100
2014-01-07,Toyota Motor,TM,TM,120.38999938964844,120.58999633789062,119.98999786376953,120.45999908447266,86.85713958740234,306200
2014-01-08,Toyota Motor,TM,TM,120.18000030517578,120.18000030517578,119.6500015258789,119.8499984741211,86.41732788085938,349400
2014-01-09,Toyota Motor,TM,TM,120.33000183105469,120.5,119.58999633789062,120.33000183105469,86.76343536376953,338500
2014-01-10,Toyota Motor,TM,TM,120.48999786376953,120.88999938964844,120.0,120.80999755859375,87.10952758789062,242000
2014-01-13,Toyota Motor,TM,TM,120.5,120.5,119.19999694824219,119.4000015258789,86.09285736083984,421600
2014-01-14,Toyota Motor,TM,TM,119.25,119.75,118.66999816894531,119.45999908447266,86.1361083984375,473300
2014-01-15,Toyota Motor,TM,TM,119.44999694824219,120.04000091552734,119.11000061035156,119.47000122070312,86.14332580566406,426400
2014-01-16,Toyota Motor,TM,TM,119.5999984741211,119.83000183105469,118.9000015258789,119.83000183105469,86.40290069580078,244600
2014-01-17,Toyota Motor,TM,TM,119.37999725341797,119.9800033569336,118.94999694824219,119.19000244140625,85.94141387939453,407800
2014-01-21,Toyota Motor,TM,TM,120.5,120.54000091552734,119.62999725341797,120.45999908447266,86.85713958740234,550000
2014-01-22,Toyota Motor,TM,TM,121.29000091552734,121.73999786376953,120.73999786376953,121.69000244140625,87.7440414428711,371400
2014-01-23,Toyota Motor,TM,TM,120.4000015258789,120.44000244140625,119.05999755859375,119.36000061035156,86.06401824951172,435900
2014-01-24,Toyota Motor,TM,TM,118.98999786376953,119.04000091552734,117.70999908447266,117.87999725341797,84.9968490600586,591900
2014-01-27,Toyota Motor,TM,TM,117.87999725341797,118.26000213623047,116.1500015258789,117.02999877929688,84.38397979736328,673000
2014-01-28,Toyota Motor,TM,TM,117.52999877929688,118.2699966430664,117.29000091552734,117.83000183105469,84.96082305908203,564400
2014-01-29,Toyota Motor,TM,TM,118.26000213623047,118.31999969482422,116.91999816894531,117.19999694824219,84.5065689086914,542300
2014-01-30,Toyota Motor,TM,TM,117.44000244140625,117.83000183105469,116.69999694824219,117.16000366210938,84.47769927978516,329900
2014-01-31,Toyota Motor,TM,TM,114.91999816894531,115.5,113.61000061035156,114.76000213623047,82.74720001220703,566300
2014-02-03,Toyota Motor,TM,TM,113.97000122070312,114.1500015258789,112.08000183105469,112.75,81.29789733886719,553800
2014-02-04,Toyota Motor,TM,TM,111.8499984741211,112.66000366210938,110.75,112.48999786376953,81.11042022705078,561200
2014-02-05,Toyota Motor,TM,TM,114.79000091552734,115.8499984741211,114.11000061035156,115.66000366210938,83.39613342285156,709900
2014-02-06,Toyota Motor,TM,TM,114.58000183105469,116.18000030517578,114.44000244140625,115.95999908447266,83.6124496459961,439300
2014-02-07,Toyota Motor,TM,TM,115.9000015258789,117.66000366210938,115.70999908447266,117.37999725341797,84.63633728027344,610900
2014-02-10,Toyota Motor,TM,TM,117.5,117.51000213623047,116.5999984741211,117.04000091552734,84.39118194580078,385000
2014-02-11,Toyota Motor,TM,TM,117.79000091552734,118.11000061035156,117.0999984741211,117.91000366210938,85.01849365234375,366100
2014-02-12,Toyota Motor,TM,TM,117.55000305175781,118.41000366210938,117.25,117.55999755859375,84.76611328125,466700
2014-02-13,Toyota Motor,TM,TM,114.9800033569336,116.38999938964844,114.86000061035156,116.1500015258789,83.74943542480469,419000
2014-02-14,Toyota Motor,TM,TM,115.0999984741211,115.7699966430664,115.0,115.16999816894531,83.0428237915039,621700
