Date,Companyia,Ticker Yahoo original,Ticker Yahoo utilitzat,Open,High,Low,Close,Adj Close,Volume
,,,,IBM,IBM,IBM,IBM,IBM,IBM
2014-01-02,IBM,IBM,IBM,178.97705078125,179.15870666503906,177.05545043945312,177.37094116210938,109.04895782470703,4755639
2014-01-03,IBM,IBM,IBM,177.65774536132812,179.11090087890625,177.1510467529297,178.43212890625,109.70133972167969,4250107
2014-01-06,IBM,IBM,IBM,178.91969299316406,179.12045288085938,177.1510467529297,177.8202667236328,109.32518005371094,4254919
2014-01-07,IBM,IBM,IBM,178.193115234375,181.97897338867188,178.18356323242188,181.3671112060547,111.50587463378906,6205186
2014-01-08,IBM,IBM,IBM,181.0038299560547,181.08985900878906,179.0248565673828,179.70362854003906,110.48310852050781,4815470
2014-01-09,IBM,IBM,IBM,180.70745849609375,181.16635131835938,178.34608459472656,179.1395721435547,110.13634490966797,4520080
2014-01-10,IBM,IBM,IBM,180.0286865234375,180.27725219726562,178.08795166015625,179.0248565673828,110.06580352783203,4207430
2014-01-13,IBM,IBM,IBM,178.06883239746094,178.72848510742188,175.77438354492188,176.06118774414062,108.24368286132812,6050796
2014-01-14,IBM,IBM,IBM,176.92160034179688,178.23135375976562,175.7935028076172,177.74378967285156,109.27820587158203,4831683
2014-01-15,IBM,IBM,IBM,177.64817810058594,180.35372924804688,177.33270263671875,179.48374938964844,110.34793090820312,5038059
2014-01-16,IBM,IBM,IBM,179.28298950195312,180.67877197265625,178.5850830078125,180.45889282226562,110.94744110107422,4989734
2014-01-17,IBM,IBM,IBM,179.7705535888672,182.41873168945312,179.5984649658203,181.73040771484375,111.72918701171875,7996252
2014-01-21,IBM,IBM,IBM,181.86424255371094,182.0172119140625,178.57553100585938,180.14340209960938,110.7535171508789,11585810
2014-01-22,IBM,IBM,IBM,173.30784606933594,175.43020629882812,171.76864624023438,174.2351837158203,107.12107849121094,14430721
2014-01-23,IBM,IBM,IBM,173.4512481689453,175.64053344726562,172.76290893554688,174.69407653808594,107.4032211303711,7294699
2014-01-24,IBM,IBM,IBM,173.27915954589844,174.7705535888672,171.73995971679688,171.73995971679688,105.58699798583984,7207568
2014-01-27,IBM,IBM,IBM,171.71128845214844,171.74952697753906,169.84703063964844,170.07647705078125,104.56429290771484,5448196
2014-01-28,IBM,IBM,IBM,170.21987915039062,170.602294921875,168.41299438476562,169.07266235351562,103.94710540771484,5578632
2014-01-29,IBM,IBM,IBM,168.2409210205078,170.67877197265625,168.15487670898438,168.64244079589844,103.68264770507812,5199561
2014-01-30,IBM,IBM,IBM,169.3785858154297,170.03823852539062,168.6042022705078,169.5602264404297,104.24687194824219,5076970
2014-01-31,IBM,IBM,IBM,168.36520385742188,170.0191192626953,167.62905883789062,168.91014099121094,103.84721374511719,5432296
2014-02-03,IBM,IBM,IBM,168.27915954589844,168.27915954589844,165.12428283691406,165.29637145996094,101.62541198730469,7517393
2014-02-04,IBM,IBM,IBM,165.89866638183594,166.10899353027344,164.78012084960938,165.23899841308594,101.59012603759766,4549891
2014-02-05,IBM,IBM,IBM,164.61758422851562,167.27532958984375,164.61758422851562,166.5774383544922,102.41303253173828,4929066
2014-02-06,IBM,IBM,IBM,166.31930541992188,167.16061401367188,166.14723205566406,166.988525390625,103.22858428955078,4489641
2014-02-07,IBM,IBM,IBM,167.91586303710938,169.75143432617188,167.37094116210938,169.45506286621094,104.75335693359375,4908773
2014-02-10,IBM,IBM,IBM,169.1873779296875,169.8374786376953,168.49903869628906,169.3498992919922,104.68838500976562,3703258
2014-02-11,IBM,IBM,IBM,169.034423828125,172.4569854736328,169.0248565673828,171.7973175048828,106.2013168334961,4861076
